year,selling_price,km_driven,seller_type,transmission,owner,fuel_Diesel,fuel_Petrol
6,240000,73300,0,1,1,0,1
6,525000,92000,0,1,0,1,0
11,151000,66764,0,1,1,0,1
11,140000,100000,1,1,0,0,1
3,570000,60000,1,1,0,1,0
2,300000,31000,1,1,0,0,1
13,100000,39000,1,1,0,1,0
11,500000,120000,1,1,3,1,0
6,125000,166000,1,1,3,1,0
14,130000,110000,1,1,3,0,1
3,925000,35000,1,1,0,1,0
2,750000,60000,1,1,0,1,0
13,200000,54000,1,0,1,0,1
10,248000,63000,1,1,1,0,1
6,450000,120000,1,1,1,1,0
15,80000,120000,1,1,3,0,1
6,650000,76000,1,1,1,0,1
5,450000,80000,1,1,0,1,0
1,650000,25000,1,1,0,1,0
4,495000,11958,0,1,0,0,1
5,371000,20000,0,1,0,0,1
3,1025000,9000,0,1,0,0,1
5,750000,70000,1,1,0,1,0
7,600000,120000,1,1,0,1,0
13,80000,58000,0,1,1,0,1
7,325000,62200,0,1,0,1,0
6,1470000,34000,0,0,1,1,0
5,350000,53000,1,1,1,1,0
3,210000,15000,0,1,1,0,1
7,450000,50000,1,1,0,0,1
7,1150000,53000,0,0,0,1,0
11,210000,63500,0,0,0,0,1
2,1975000,21000,0,0,0,1,0
12,175000,29173,0,1,0,0,1
3,628000,120000,1,1,0,1,0
10,600000,100000,1,1,0,1,0
3,399000,30000,1,1,0,0,1
2,750000,87000,1,1,0,1,0
1,750000,15000,1,1,0,0,1
3,315000,16000,1,1,0,0,1
8,600000,60000,1,1,0,1,0
10,100000,60000,1,1,3,0,1
9,250000,110000,1,1,3,0,1
3,350000,25000,1,1,0,0,1
4,780000,60000,1,1,0,1,0
6,434000,79350,1,1,1,1,0
4,690000,80000,1,0,0,0,1
6,555000,90000,1,1,1,1,0
13,120000,90000,1,1,1,0,1
6,500000,120000,1,1,1,1,0
7,165000,60000,1,1,1,1,0
16,95000,50000,1,1,0,0,1
2,550000,20000,1,1,0,0,1
13,100000,110000,1,1,3,1,0
8,100000,50000,1,1,1,0,1
8,500000,100000,1,1,0,1,0
4,800000,70000,1,1,1,1,0
4,840000,70000,1,1,1,1,0
4,490000,50000,1,1,0,0,1
10,125000,81000,1,1,1,1,0
8,400000,120000,1,1,3,1,0
5,1000000,3600,0,1,0,1,0
5,530000,14272,0,1,0,0,1
3,840000,49213,0,1,0,1,0
5,229999,40000,1,1,0,0,1
22,40000,40000,1,1,3,0,1
8,130000,80000,1,1,0,0,1
5,200000,70000,1,1,0,0,1
9,120000,70000,1,1,0,1,0
17,75000,57000,1,1,0,0,1
4,250000,120000,1,1,0,1,0
15,100000,30000,1,1,0,0,1
7,280000,3240,1,1,1,0,1
5,540000,5000,1,1,0,0,1
2,700000,10000,1,1,0,0,1
5,525000,100000,1,1,0,1,0
4,430000,80000,1,1,0,1,0
18,65000,70000,1,1,0,0,1
2,800000,35000,1,1,0,1,0
13,75000,114000,1,1,1,0,1
12,210000,53772,1,1,0,0,1
8,195000,140000,1,1,1,1,0
5,400000,120000,1,1,0,1,0
8,170000,60000,1,1,0,0,1
4,225000,25000,1,1,0,0,1
6,210000,90000,1,1,0,0,0
0,240000,120000,1,1,0,0,1
5,300000,175000,1,1,0,1,0
9,99000,100000,1,1,3,0,1
6,620000,36000,1,1,0,0,1
7,500000,30000,1,1,0,1,0
7,260000,70000,1,1,1,0,1
3,550000,60000,1,1,0,0,1
9,150000,155500,1,1,0,1,0
9,350000,50000,1,0,1,0,1
4,320000,40000,1,1,0,0,1
5,400000,100000,1,1,3,1,0
8,175000,80000,1,1,3,0,1
9,120000,90000,1,1,1,0,1
7,320000,90000,1,1,1,1,0
14,70000,110000,1,1,3,0,1
1,810000,15000,1,1,0,0,1
13,95000,100000,1,1,1,0,1
0,282000,40000,1,1,0,0,0
16,80000,60000,1,1,1,0,1
7,72000,25000,1,1,0,0,1
4,600000,25000,1,1,0,0,1
5,640000,23000,1,1,0,0,1
2,380000,22155,1,1,0,0,1
2,650000,70000,1,1,0,0,1
11,150000,60000,1,1,1,0,1
11,280000,110000,1,1,1,0,1
2,430000,30000,1,1,0,0,1
1,800000,15000,1,1,0,1,0
17,75000,100000,1,1,1,1,0
4,650000,70000,1,0,0,1,0
3,390000,24000,1,1,0,0,1
15,100000,120000,1,1,1,0,1
7,1500000,35000,1,0,0,1,0
13,175000,78380,1,1,0,0,1
8,434999,110000,1,1,1,1,0
10,170000,90000,1,1,3,1,0
9,190000,90000,1,1,3,1,0
11,250000,150000,1,1,3,1,0
14,140000,70000,1,1,3,0,1
3,600000,80362,1,1,0,1,0
8,280000,110000,1,1,3,0,1
8,150000,60000,1,1,0,1,0
5,650000,50000,1,0,0,1,0
6,210000,40000,1,1,1,0,1
7,425000,20000,0,1,0,1,0
6,265000,55000,0,1,0,0,1
2,890000,1136,0,1,0,0,1
7,365000,55000,0,1,0,0,1
6,350000,43000,0,1,0,0,1
4,685000,60000,1,1,0,1,0
2,940000,2650,0,1,0,1,0
3,1000000,40000,1,1,0,1,0
1,1150000,15000,0,1,0,0,1
4,450000,115962,1,1,1,1,0
5,590000,65000,0,1,0,1,0
3,800000,40000,1,1,0,1,0
8,385000,58000,0,1,0,1,0
7,2000000,15000,1,0,0,1,0
8,235000,54000,0,1,0,0,1
3,640000,56000,0,1,0,1,0
14,52000,120000,1,1,3,0,1
11,80000,90000,1,1,1,0,0
8,140000,70000,1,1,1,0,1
12,120000,90000,1,1,1,0,1
8,180000,120000,1,1,0,1,0
3,1500000,20000,1,1,0,1,0
3,700000,10000,1,1,0,0,1
8,285000,80000,1,1,1,1,0
5,390000,90000,1,1,0,0,1
12,125000,80000,1,1,0,0,1
12,225000,60000,1,1,1,0,1
9,175000,139000,1,1,1,0,1
9,1075000,160000,1,1,1,1,0
6,300000,150000,1,1,0,1,0
10,700000,163000,1,1,3,1,0
11,90000,120000,0,1,0,1,0
9,120000,120000,1,1,1,1,0
8,220000,100000,1,1,1,1,0
5,300000,140000,0,1,0,1,0
10,180000,87000,0,1,1,1,0
7,170000,70000,1,1,0,0,1
5,300000,50000,1,1,1,0,1
6,1050000,70000,1,1,0,1,0
6,300000,150000,1,1,0,1,0
2,465000,25000,1,1,0,1,0
9,130000,80000,1,1,1,1,0
2,434999,10000,1,1,0,0,1
2,500000,32000,1,1,0,0,1
2,200000,10000,1,1,0,0,1
3,625000,52000,0,1,0,0,1
14,110000,120000,1,1,3,1,0
1,800000,11240,1,1,0,0,1
3,490000,66000,0,1,0,1,0
3,880000,64000,0,1,0,1,0
7,290000,49000,1,1,0,0,1
14,115999,100000,1,1,1,1,0
2,360000,26500,1,1,0,0,1
18,65000,100000,1,1,1,0,1
3,685000,72000,0,1,0,1,0
11,300000,50000,1,1,0,0,1
3,680000,44000,0,1,0,1,0
3,1000000,60000,1,1,1,1,0
18,100000,120000,1,1,0,1,0
10,160000,130000,1,1,0,1,0
3,450000,70000,1,1,0,1,0
6,600000,20000,1,1,0,0,1
11,180000,60000,1,1,1,1,0
13,100000,195000,1,1,0,0,1
10,120000,90000,1,1,1,0,1
14,130000,80000,1,1,3,0,1
9,160000,155000,1,1,0,0,1
1,860000,35000,1,1,0,1,0
2,650000,20000,1,1,1,0,1
10,100000,80000,1,1,1,0,1
3,282000,20000,1,1,0,0,1
11,300000,50000,1,1,0,0,1
10,270000,110000,1,1,1,0,1
7,550000,29000,1,1,0,1,0
7,450000,120000,1,1,0,1,0
9,430000,70000,1,1,1,1,0
7,350000,40000,1,1,0,0,1
3,350000,20000,1,1,0,0,1
7,229999,50000,1,1,1,0,1
7,110000,50000,1,1,0,0,1
8,395000,49000,1,1,1,0,1
9,650000,70000,1,0,1,1,0
9,350000,90000,1,1,1,1,0
0,1400000,25000,0,1,0,1,0
2,360000,4000,1,1,0,0,1
2,1300000,10000,1,1,0,1,0
5,800000,15000,1,1,0,1,0
2,229999,30000,1,1,0,0,1
6,315000,41000,0,1,0,0,1
8,125000,28000,1,1,0,0,1
1,700000,16000,1,1,0,0,1
5,160000,70000,1,1,0,0,1
3,530000,10832,0,1,0,0,1
2,624000,14681,0,1,0,1,0
11,250000,50000,1,1,0,0,1
4,585000,51000,0,1,0,1,0
5,500000,25000,1,1,0,0,1
6,350000,30000,1,1,0,0,1
6,495000,80000,0,1,0,1,0
3,500000,50000,1,1,0,0,1
5,430000,200000,1,1,0,1,0
7,345000,44000,0,1,0,0,1
5,500000,10000,1,1,0,0,1
1,425000,19600,1,1,0,0,1
15,80000,40000,1,1,1,0,1
9,106000,50000,1,1,0,1,0
11,180000,46730,1,1,0,0,1
5,250000,40000,1,1,1,0,1
9,350000,80000,1,1,0,1,0
18,60000,80000,1,1,1,0,1
2,900000,24000,1,1,0,1,0
3,700000,21170,0,1,0,1,0
7,2000000,167223,0,0,0,1,0
3,1000000,40000,1,1,0,1,0
9,1375000,60000,1,0,0,1,0
4,1800000,141440,0,1,0,1,0
13,160000,120000,1,1,3,1,0
8,525000,140000,1,0,0,0,1
1,800000,30000,1,1,0,1,0
3,700000,88635,0,1,0,1,0
2,800000,25000,1,1,0,1,0
3,575000,20000,1,1,1,0,1
8,350000,110000,1,1,1,1,0
12,250000,120000,1,1,3,1,0
9,600000,149674,0,1,1,1,0
13,370000,100000,1,1,3,1,0
14,80000,120000,1,1,3,0,1
17,50000,120000,1,1,1,1,0
2,900000,25000,1,1,0,1,0
6,300000,35000,1,1,1,0,1
18,125000,40000,1,1,0,0,1
5,490000,60000,1,1,1,1,0
8,300000,50000,1,1,1,1,0
7,55000,25000,1,1,3,0,1
4,350000,25000,1,1,0,0,1
1,755000,8000,1,1,0,1,0
3,720000,60000,1,1,0,1,0
14,229999,200000,1,1,3,1,0
2,1100000,20000,1,1,0,1,0
7,400000,100000,1,1,0,0,1
5,350000,70000,1,1,1,1,0
8,159000,68000,0,1,0,1,0
3,550000,38000,0,1,0,0,1
7,335000,80000,0,1,0,1,0
6,185000,72000,0,1,0,0,0
8,229999,75000,0,1,0,0,0
6,225000,43000,0,1,0,0,1
13,250000,120000,1,1,1,0,1
5,400000,100000,1,1,0,1,0
6,470000,163000,1,1,0,1,0
2,300000,25000,1,0,0,0,1
9,145000,25000,1,1,0,0,1
13,100000,90000,1,1,1,0,1
6,500000,70000,1,1,1,1,0
10,130000,98000,1,1,1,0,0
10,240000,81925,1,1,0,1,0
7,150000,80000,1,1,1,1,0
3,270000,40000,1,1,0,0,1
6,400000,90000,1,1,0,1,0
8,200000,46000,1,1,0,0,1
8,550000,80000,1,1,0,1,0
2,325000,35000,1,1,0,0,1
3,860000,82080,1,0,0,1,0
8,600000,200000,1,1,0,1,0
11,125000,70000,1,1,0,0,1
20,60000,40000,1,1,3,0,1
10,300000,120000,1,1,3,1,0
13,190000,60000,1,1,3,0,1
7,400000,110000,1,1,0,1,0
9,260000,97000,1,1,1,1,0
3,400000,30000,1,1,0,0,1
10,250000,40000,1,1,0,0,1
1,600000,10000,1,1,0,0,1
10,175000,52047,1,1,0,0,1
9,450000,200000,1,1,3,1,0
1,350000,15000,1,0,1,0,1
2,800000,50000,1,1,0,1,0
9,250000,70000,1,1,1,0,1
1,600000,10000,1,1,0,0,1
3,600000,90000,1,1,0,1,0
4,130000,40000,1,1,0,0,1
14,90000,62009,1,1,1,0,1
3,595000,33100,1,1,1,0,1
6,190000,40000,1,1,1,0,1
21,50000,120000,1,1,1,0,1
13,95000,80000,1,1,0,0,1
4,1000000,70000,1,1,0,1,0
10,400000,50000,1,1,0,1,0
5,315000,45000,1,1,1,0,1
6,1000000,110000,1,1,0,1,0
6,500000,49000,1,1,0,1,0
2,1600000,35000,1,0,0,1,0
3,500000,160000,1,1,0,1,0
13,70000,180000,1,1,3,0,1
13,105000,60000,1,1,1,0,1
12,400000,110000,1,1,3,1,0
16,80000,60000,1,1,3,0,1
4,300000,30000,1,1,0,0,1
3,409999,40000,1,1,0,1,0
11,250000,70000,1,1,0,0,1
10,250000,120000,1,1,1,1,0
8,215000,80000,1,1,3,1,0
5,1400000,120000,1,1,0,1,0
2,475000,20000,1,1,0,0,1
2,475000,22000,1,1,0,0,1
12,75000,35000,1,1,1,0,1
7,200000,120000,1,1,1,1,0
1,575000,8000,1,1,0,0,1
9,150000,40000,1,1,1,1,0
2,850000,10000,1,1,0,1,0
1,350000,30000,1,1,0,0,1
9,550000,54000,1,1,1,1,0
3,330000,80577,1,1,0,0,1
3,1044999,25000,1,1,0,1,0
9,300000,127500,1,1,1,1,0
5,235000,40903,0,1,0,0,1
9,120000,60000,1,1,3,0,1
16,130000,46000,1,1,0,0,1
16,275000,22288,0,1,1,1,0
9,270000,180000,1,1,1,1,0
5,500000,30000,1,1,1,1,0
5,400000,61690,0,1,0,0,1
5,600000,64484,0,1,0,0,1
8,1350000,90000,1,0,1,1,0
7,400000,75976,0,1,1,1,0
9,220000,70000,1,1,1,1,0
8,300000,85962,0,1,1,0,1
2,250000,120000,1,1,0,0,1
5,600000,120000,1,1,0,1,0
8,285000,75000,1,0,1,0,1
11,350000,57035,0,1,0,0,1
9,170000,70000,1,1,3,1,0
5,229999,45000,1,1,0,0,1
7,500000,72104,0,1,1,1,0
9,75000,15000,1,1,0,0,1
4,600000,30000,1,1,0,0,1
9,220000,80000,1,1,0,1,0
11,150000,164000,1,1,1,1,0
14,65000,124439,1,1,1,0,1
14,120000,77000,1,1,1,0,1
6,240000,90000,1,1,0,1,0
3,390000,30000,1,1,0,0,1
8,180000,50000,1,1,0,0,1
8,320000,80000,1,1,1,1,0
2,310000,5000,1,1,0,0,1
2,420000,24000,1,0,0,0,1
1,550000,10000,1,1,0,0,1
4,550000,78000,1,1,3,1,0
2,760000,50000,1,1,0,1,0
19,43000,100000,1,1,1,0,1
2,250000,20000,1,1,0,0,1
1,500000,1250,1,1,0,0,1
5,380000,17152,1,1,0,0,1
1,1850000,5000,1,0,0,1,0
8,350000,77000,1,1,0,1,0
12,195000,90000,1,1,1,1,0
9,225000,80000,1,1,1,0,1
5,1125000,65000,1,1,0,1,0
9,133000,80000,1,1,0,1,0
7,200000,24005,1,1,0,0,1
2,940000,20000,1,1,0,1,0
6,400000,120000,1,1,0,1,0
11,120000,120000,1,1,1,0,1
5,625000,80000,1,1,0,1,0
15,110000,80000,1,1,0,0,1
8,490000,100000,1,1,0,1,0
11,140000,120000,1,1,1,0,1
9,175000,149000,1,1,1,1,0
15,90000,65000,1,1,1,0,1
11,275000,100000,1,1,1,1,0
9,300000,65000,1,1,1,1,0
2,270000,19000,1,1,1,0,1
10,130000,80000,1,1,1,0,1
5,275000,30000,1,1,0,0,1
8,352000,109000,1,1,0,1,0
8,180000,90000,1,1,0,0,0
8,150000,90000,1,1,0,0,1
9,300000,65000,1,1,1,1,0
10,300000,110000,1,1,1,1,0
13,225000,120000,1,1,0,1,0
6,600000,44000,1,1,0,1,0
5,500000,80000,1,1,0,0,1
2,900000,5000,1,1,0,0,1
4,600000,61000,1,1,0,0,1
9,450000,100000,1,1,1,1,0
11,270000,27633,1,1,0,0,1
10,310000,100000,1,1,3,1,0
8,250000,100000,1,1,0,0,0
1,700000,12586,0,1,0,0,1
2,650000,38083,0,1,0,1,0
8,400000,55328,0,1,0,1,0
8,425000,81632,0,1,0,1,0
4,600000,155201,0,1,0,1,0
7,600000,93283,0,1,0,1,0
8,450000,90165,0,1,0,1,0
6,750000,101504,0,1,0,1,0
10,325000,86017,0,1,1,1,0
7,900000,85036,0,1,1,1,0
14,180000,91086,0,1,1,0,1
7,350000,160254,0,1,1,1,0
7,600000,125531,0,1,1,1,0
1,900000,60000,1,1,0,1,0
14,350000,100000,1,1,0,1,0
7,280000,90000,1,1,3,1,0
11,225000,120000,1,1,1,1,0
6,520000,82000,1,1,0,1,0
4,509999,60000,1,1,0,1,0
1,556000,24000,1,1,0,0,1
6,225000,120000,1,1,0,1,0
7,325000,65000,0,1,0,1,0
7,365000,65000,0,1,0,1,0
5,850000,84000,0,1,0,1,0
7,350000,75000,0,1,0,1,0
13,225000,50000,0,1,0,1,0
9,135000,50000,1,1,0,0,1
13,140000,49000,0,1,0,0,1
5,275000,14365,0,1,0,0,1
7,484999,65000,0,1,0,1,0
5,565000,65000,0,1,0,1,0
7,425000,61083,0,1,0,1,0
7,925000,75000,1,1,0,1,0
8,565000,72000,0,1,0,1,0
6,525000,65000,0,1,0,1,0
3,1650000,55000,0,1,0,1,0
5,295000,21000,0,1,1,0,1
8,2050000,66363,0,0,1,0,1
2,1475000,11700,0,0,0,0,1
3,1100000,10000,1,0,0,0,1
4,670000,7104,0,1,0,0,1
5,750000,45974,0,1,0,1,0
5,760000,55340,0,1,0,0,1
3,850000,20000,0,0,1,0,1
5,390000,61585,0,1,0,1,0
4,450000,39415,0,0,1,0,1
6,425000,29654,0,1,0,0,1
4,770000,64672,0,1,0,1,0
5,1150000,54634,0,0,1,1,0
5,775000,66521,0,1,0,0,1
2,1725000,23974,0,0,1,1,0
4,2150000,43000,0,0,0,1,0
7,450000,1000,0,1,1,1,0
7,1580000,86000,0,0,0,1,0
4,535000,52600,1,1,0,1,0
8,225000,110000,1,1,1,0,1
3,550000,19890,0,0,0,0,1
4,670000,7104,0,1,0,0,1
5,625000,11918,0,1,0,0,1
3,520000,10510,0,0,0,0,1
4,239000,41000,0,1,0,0,1
5,750000,45974,0,1,0,1,0
8,229999,49824,0,1,0,0,1
7,1300000,58500,0,0,0,1,0
15,80000,56580,0,1,0,0,1
8,385000,52000,0,1,0,1,0
5,760000,55340,0,1,0,0,1
3,600000,46507,0,1,0,1,0
7,450000,1000,0,1,1,1,0
7,1580000,86000,0,0,0,1,0
4,535000,52600,1,1,0,1,0
8,225000,110000,1,1,1,0,1
3,550000,19890,0,0,0,0,1
4,670000,7104,0,1,0,0,1
5,625000,11918,0,1,0,0,1
3,520000,10510,0,0,0,0,1
4,239000,41000,0,1,0,0,1
5,750000,45974,0,1,0,1,0
8,229999,49824,0,1,0,0,1
7,1300000,58500,0,0,0,1,0
15,80000,56580,0,1,0,0,1
8,385000,52000,0,1,0,1,0
5,760000,55340,0,1,0,0,1
3,600000,46507,0,1,0,1,0
7,450000,1000,0,1,1,1,0
7,1580000,86000,0,0,0,1,0
4,535000,52600,1,1,0,1,0
8,225000,110000,1,1,1,0,1
3,550000,19890,0,0,0,0,1
4,670000,7104,0,1,0,0,1
5,625000,11918,0,1,0,0,1
3,520000,10510,0,0,0,0,1
4,239000,41000,0,1,0,0,1
5,750000,45974,0,1,0,1,0
8,229999,49824,0,1,0,0,1
7,1300000,58500,0,0,0,1,0
15,80000,56580,0,1,0,0,1
8,385000,52000,0,1,0,1,0
5,760000,55340,0,1,0,0,1
3,600000,46507,0,1,0,1,0
7,450000,1000,0,1,1,1,0
7,1580000,86000,0,0,0,1,0
4,535000,52600,1,1,0,1,0
8,225000,110000,1,1,1,0,1
3,550000,19890,0,0,0,0,1
4,670000,7104,0,1,0,0,1
5,625000,11918,0,1,0,0,1
3,520000,10510,0,0,0,0,1
4,239000,41000,0,1,0,0,1
5,750000,45974,0,1,0,1,0
8,229999,49824,0,1,0,0,1
7,1300000,58500,0,0,0,1,0
15,80000,56580,0,1,0,0,1
8,385000,52000,0,1,0,1,0
5,760000,55340,0,1,0,0,1
3,600000,46507,0,1,0,1,0
7,350000,50000,1,1,1,0,1
6,114999,30000,1,1,0,0,1
7,380000,50000,1,1,1,0,1
25,95000,100000,1,1,1,0,1
4,900000,35000,1,1,0,1,0
8,200999,90000,1,1,1,0,1
6,229999,11451,1,1,0,0,1
1,800000,60000,1,1,0,1,0
8,150000,172000,1,1,1,1,0
2,600000,60000,1,1,0,1,0
15,150000,150000,1,1,0,1,0
11,150000,66000,1,1,0,1,0
1,380000,5000,1,1,0,0,1
14,80000,66508,1,1,1,0,1
13,225000,55000,1,1,1,0,1
8,75000,29900,1,1,0,0,1
3,1600000,3000,1,1,0,1,0
8,185000,85000,1,1,0,1,0
9,425000,50000,1,1,0,1,0
10,100000,120000,1,1,1,1,0
12,140000,90000,1,1,3,0,1
3,710000,8000,1,0,0,0,1
5,450000,7900,1,0,0,0,1
3,210000,50000,1,1,0,0,1
4,270000,25000,1,1,0,0,1
11,110000,20000,1,1,0,0,1
2,540000,17500,1,1,0,0,1
12,145000,25000,1,1,0,0,1
7,360000,206500,1,1,0,1,0
7,250000,88600,1,1,0,0,0
8,110000,80000,1,1,0,1,0
12,250000,100000,1,1,3,1,0
9,150000,186000,1,1,1,1,0
10,140000,60000,1,1,0,0,1
1,925000,11000,1,1,0,0,1
3,969999,30000,1,1,0,1,0
13,90000,80000,1,1,3,0,0
19,55000,60000,1,1,3,0,1
13,155000,100000,1,1,3,1,0
1,900000,15000,1,1,0,1,0
9,135000,90000,1,1,0,0,1
8,180000,120000,1,1,0,0,1
7,495000,100000,1,1,1,1,0
11,400000,138000,1,1,3,1,0
12,250000,110000,1,1,1,1,0
5,138000,120000,1,1,3,0,1
9,311000,70000,1,0,1,0,1
5,190000,70000,1,1,0,0,1
9,311000,140000,1,1,0,1,0
11,300000,15000,1,1,0,0,1
2,600000,20000,1,1,0,0,1
11,550000,100000,1,1,0,1,0
5,600000,70000,1,0,0,0,1
2,195000,5000,1,1,0,0,1
7,58000,27974,1,1,0,0,1
2,183000,40000,1,1,0,0,1
13,95000,80000,1,1,0,0,1
7,250000,38000,1,1,0,0,1
7,250000,38000,1,1,0,0,1
6,400000,35000,1,1,0,0,1
8,409999,60000,1,1,1,1,0
16,120000,120000,1,1,1,1,0
2,600000,18000,1,0,0,0,1
4,600000,10000,1,1,0,0,1
5,825000,90000,1,1,3,1,0
4,625000,80000,1,1,1,1,0
0,700000,1400,1,1,0,1,0
9,160000,60000,1,1,0,0,1
9,114999,60000,1,1,3,0,1
11,150000,53000,1,1,0,0,1
10,250000,100000,0,1,0,1,0
8,390000,86000,0,1,1,1,0
5,650000,100000,1,1,0,1,0
4,600000,30000,1,1,0,1,0
9,250000,120000,1,1,0,0,1
9,229999,60000,1,1,1,0,0
4,299000,50000,1,1,1,1,0
10,330000,124000,1,1,1,1,0
8,180000,100000,1,1,3,0,1
3,475000,42000,1,1,0,0,1
5,325000,100000,1,1,0,1,0
4,639000,28205,0,1,0,0,1
3,415000,32670,0,0,0,0,1
4,1199000,30093,0,0,0,1,0
7,525000,56228,0,1,0,0,0
7,425000,59319,0,1,0,0,1
4,699000,39503,0,1,0,1,0
7,325000,35299,0,1,0,0,1
9,275000,51687,0,1,0,0,1
9,269000,76259,0,0,0,0,1
7,399000,44049,0,1,0,1,0
3,475000,45087,0,1,0,1,0
9,249000,41125,0,1,0,0,1
6,1549000,42215,0,0,0,1,0
9,254999,54206,0,1,0,0,1
8,269000,52547,0,1,0,0,1
6,665000,59110,0,1,0,1,0
6,299000,54565,0,1,0,0,1
10,265000,47564,0,1,1,0,1
10,211000,45143,0,1,1,0,1
7,599000,61624,0,0,1,0,1
13,55000,195000,1,1,3,1,0
6,550000,50000,1,1,0,1,0
10,220000,120000,1,1,1,1,0
1,500000,20000,1,1,0,0,1
10,140000,30000,1,1,0,0,1
7,325000,60000,1,1,0,1,0
10,210000,90000,1,1,3,0,1
12,110000,90000,1,1,1,0,1
1,1200000,25000,1,1,0,1,0
3,229999,40000,1,1,0,0,1
8,225000,110000,1,1,1,0,1
14,165000,132000,1,1,0,0,1
2,525000,10980,0,0,0,0,1
2,325000,20629,0,1,0,0,1
2,1500000,50000,1,1,0,1,0
5,400000,30000,1,0,0,0,1
5,550000,69782,0,1,0,0,1
17,98000,54000,1,1,0,0,1
7,900000,63654,0,1,0,1,0
3,700000,60000,1,1,0,1,0
5,890000,52000,0,1,0,1,0
5,490000,59385,0,1,0,1,0
5,525000,70378,0,1,0,0,1
7,330000,55425,0,1,0,0,1
7,550000,78413,0,1,1,1,0
2,790000,40890,0,1,0,1,0
5,350000,34823,0,1,1,0,1
3,1700000,75000,1,0,0,1,0
3,750000,55545,0,1,0,1,0
6,409999,56541,0,1,0,1,0
4,220000,43700,1,1,0,0,1
11,68000,120000,1,1,1,0,1
3,290000,20000,1,1,0,0,1
6,600000,27483,0,1,0,1,0
1,470000,8000,1,1,0,0,1
12,150000,30000,1,1,0,0,1
6,180000,56207,0,1,1,0,1
14,80000,70000,1,1,0,0,1
2,875000,1440,1,1,0,0,1
1,300000,50000,1,1,0,0,1
3,1330000,91195,0,1,0,1,0
9,220000,63657,0,1,0,1,0
7,250000,60000,1,1,0,1,0
4,919999,75000,0,1,0,1,0
7,380000,97248,0,1,0,0,1
8,450000,46000,1,1,0,1,0
4,770000,10000,1,0,0,0,1
2,550000,80000,1,1,0,1,0
9,320000,100000,1,1,1,1,0
7,400000,35000,1,1,0,0,1
3,450000,50000,1,0,0,0,1
9,220000,90000,1,1,3,1,0
8,400000,150000,1,1,1,1,0
7,530000,89000,1,1,1,0,1
6,390000,60000,1,1,1,1,0
8,185000,100000,1,1,1,1,0
8,300000,100000,1,1,1,0,1
6,575000,90000,1,1,1,1,0
6,300000,75000,1,1,0,0,1
3,425000,36000,0,1,0,1,0
4,350000,12000,1,1,0,0,1
3,550000,12997,0,1,0,1,0
3,500000,40000,1,0,0,0,1
5,600000,60000,1,1,0,1,0
7,300000,25000,1,1,1,1,0
2,1150000,26430,0,1,0,1,0
5,475000,24600,0,1,0,0,1
9,260000,28481,0,1,0,0,1
7,350000,100000,1,1,0,0,1
